FID,TBBH,POINT_X,POINT_Y
227,682,40458882.402800001000000,3585650.091140000100000
228,682,40458888.938199997000000,3585647.596309999900000
229,682,40458980.467699997000000,3585581.669550000200000
230,1171,40451353.219700001000000,3581258.855700000200000
231,1171,40451352.804899998000000,3581252.425700000000000
232,1171,40451350.091200002000000,3581233.254900000100000
233,1171,40451347.880099997000000,3581217.634200000200000
234,1171,40451346.039999999000000,3581204.635100000100000
235,1171,40451345.221799999000000,3581204.498800000200000
236,1171,40451345.533699997000000,3581201.057800000100000
237,1171,40451341.679300003000000,3581173.828300000200000
238,1171,40451341.147900000000000,3581170.074300000000000
239,1171,40451341.078299999000000,3581169.583000000100000
240,1171,40451339.994700000000000,3581161.927500000200000
241,1171,40451339.283399999000000,3581151.383500000000000
242,1171,40451337.061999999000000,3581118.455300000000000
243,1171,40451336.722900003000000,3581113.427699999900000
244,1171,40451336.713799998000000,3581113.293000000100000
245,1171,40451336.367500000000000,3581108.159399999800000
246,1171,40451335.557999998000000,3581096.160100000000000
247,1171,40451335.065099999000000,3581088.853000000100000
248,1171,40451332.969700001000000,3581057.792500000000000
249,1171,40451329.337300003000000,3581011.673400000200000
250,1171,40451328.098999999000000,3580995.950699999900000
251,1171,40451318.338000000000000,3580996.157900000000000
252,1171,40451316.983700000000000,3580995.706600000200000
253,1171,40451316.231299996000000,3580994.879300000100000
254,1171,40451315.779899999000000,3580986.831700000000000
255,1171,40451300.205399998000000,3580985.026699999800000
256,1171,40451298.926299997000000,3580993.149499999800000
257,1171,40451290.609600000000000,3580992.396900000100000
258,1171,40451289.932499997000000,3580984.048500000000000
259,1171,40451270.295100003000000,3580982.017800000000000
260,1171,40451269.617899999000000,3580982.017800000000000
261,1171,40451269.617899999000000,3580983.898200000200000
262,1171,40451256.256700002000000,3580982.464399999900000
263,1171,40451254.753600001000000,3580997.429500000100000
264,1171,40451253.888099998000000,3581017.762099999900000
265,1171,40451240.012199998000000,3581015.630400000100000
266,1171,40451240.468400002000000,3581003.011099999800000
267,1171,40451240.316399999000000,3581000.274400000000000
268,1171,40451158.541299999000000,3580991.267700000200000
269,1171,40451160.183899999000000,3580997.724200000100000
270,1171,40451159.872500002000000,3581003.639500000000000
271,1171,40451158.676500000000000,3581006.747899999800000
272,1171,40451158.315300003000000,3581007.686900000100000
273,1171,40451156.800200000000000,3581022.385199999900000
274,1171,40451078.417900003000000,3581020.601499999900000
275,1171,40451078.453900002000000,3581027.730500000100000
276,1171,40451078.532399997000000,3581043.282699999900000
277,1171,40451078.802800000000000,3581096.822199999800000
278,1171,40451078.814999998000000,3581099.233899999900000
279,1171,40451078.826099999000000,3581101.436100000000000
280,1171,40451079.244300000000000,3581184.242099999900000
281,1171,40451079.963900000000000,3581227.957100000200000
282,1171,40451080.252200000000000,3581245.472800000100000
283,1171,40451100.287799999000000,3581245.702800000100000
284,1171,40451144.043200001000000,3581248.735700000100000
285,1171,40451218.750100002000000,3581256.557899999900000
286,1171,40451255.635300003000000,3581260.311799999800000
287,1171,40451278.982900001000000,3581263.828499999800000
288,1171,40451321.421599999000000,3581269.588800000000000
289,1171,40451327.178499997000000,3581270.547900000100000
290,1171,40451326.352499999000000,3581277.084600000200000
291,1171,40451324.228399999000000,3581300.461699999900000
292,1171,40451349.689400002000000,3581295.115100000100000
293,1171,40451355.284500003000000,3581290.856300000100000
294,1171,40451354.625200003000000,3581280.638300000200000
